code,year,che_gdp,che_pc_usd,che,gghed,pvtd,ext,dom_che,gghed_che,pvtd_che,oops_che,vpp_che,gghed_gdp,gghed_gge,gghed_pc_usd,pvtd_pc_usd,oop_pc_usd,cfa_che,gfa_che,vfa_che,vhi_che,gge_gdp,gdp_pc_usd,fs,fs1,fs11,fs14,fs5,fs6,fs61,fs62,fs63,fs7,hf,hf1,hf11,hf2,hf21,hf22,hf23,hf3,gdp_ncu_pc,pfc_ncu_pc,gge_ncu_pc,fs_usd_pc,fs1_usd_pc,fs11_usd_pc,fs14_usd_pc,fs5_usd_pc,fs6_usd_pc,fs61_usd_pc,fs62_usd_pc,fs63_usd_pc,hf_usd_pc,hf1_usd_pc,hf11_usd_pc,hf2_usd_pc,hf21_usd_pc,hf22_usd_pc,hf23_usd_pc,hf3_usd_pc,pfc_usd_pc,gge_usd_pc,che_ppp_pc,gghed_ppp_pc,pvtd_ppp_pc,fs_ppp_pc,fs1_ppp_pc,fs11_ppp_pc,fs14_ppp_pc,fs5_ppp_pc,fs6_ppp_pc,fs61_ppp_pc,fs62_ppp_pc,fs63_ppp_pc,hf_ppp_pc,hf1_ppp_pc,hf11_ppp_pc,hf2_ppp_pc,hf21_ppp_pc,hf22_ppp_pc,hf23_ppp_pc,hf3_ppp_pc,gdp_ppp_pc,pfc_ppp_pc,gge_ppp_pc,pvtd_gdp,fs_gdp,fs1_gdp,fs11_gdp,fs5_gdp,fs6_gdp,fs61_gdp,fs62_gdp,hf_gdp,hf1_gdp,hf11_gdp,hf2_gdp,hf21_gdp,hf22_gdp,hf23_gdp,hf3_gdp,pfc_gdp,fs1_gge,fs11_gge,fs14_gge,hf11_gge,fs1_che,fs11_che,fs14_che,fs5_che,fs6_che,fs61_che,fs62_che,fs63_che,hf1_che,hf11_che,hf2_che,hf21_che,hf22_che,hf23_che,hf3_che,che_ncu2022,gghed_ncu2022,pvtd_ncu2022,ext_ncu2022,fs_ncu2022,fs1_ncu2022,fs11_ncu2022,fs14_ncu2022,fs5_ncu2022,fs6_ncu2022,fs61_ncu2022,fs62_ncu2022,fs63_ncu2022,fs7_ncu2022,hf_ncu2022,hf1_ncu2022,hf11_ncu2022,hf2_ncu2022,hf21_ncu2022,hf22_ncu2022,hf23_ncu2022,hf3_ncu2022,gdp_ncu2022,pfc_ncu2022,gge_ncu2022,che_usd2022,gghed_usd2022,pvtd_usd2022,ext_usd2022,fs_usd2022,fs1_usd2022,fs11_usd2022,fs14_usd2022,fs5_usd2022,fs6_usd2022,fs61_usd2022,fs62_usd2022,fs63_usd2022,fs7_usd2022,hf_usd2022,hf1_usd2022,hf11_usd2022,hf2_usd2022,hf21_usd2022,hf22_usd2022,hf23_usd2022,hf2nec_usd2022,hf3_usd2022,gdp_usd2022,pfc_usd2022,gge_usd2022,che_ncu2022_pc,gghed_ncu2022_pc,pvtd_ncu2022_pc,fs_ncu2022_pc,fs1_ncu2022_pc,fs11_ncu2022_pc,fs14_ncu2022_pc,fs5_ncu2022_pc,fs6_ncu2022_pc,fs61_ncu2022_pc,fs62_ncu2022_pc,fs63_ncu2022_pc,hf_ncu2022_pc,hf1_ncu2022_pc,hf11_ncu2022_pc,hf2_ncu2022_pc,hf21_ncu2022_pc,hf22_ncu2022_pc,hf23_ncu2022_pc,hf3_ncu2022_pc,gdp_ncu2022_pc,pfc_ncu2022_pc,gge_ncu2022_pc,che_usd2022_pc,gghed_usd2022_pc,pvtd_usd2022_pc,fs_usd2022_pc,fs1_usd2022_pc,fs11_usd2022_pc,fs14_usd2022_pc,fs5_usd2022_pc,fs6_usd2022_pc,fs61_usd2022_pc,fs62_usd2022_pc,fs63_usd2022_pc,hf_usd2022_pc,hf1_usd2022_pc,hf11_usd2022_pc,hf2_usd2022_pc,hf21_usd2022_pc,hf22_usd2022_pc,hf23_usd2022_pc,hf3_usd2022_pc,pfc_usd2022_pc,gge_usd2022_pc
GBR,2000,7.16,2027.64,78780.04,59714.11,19059.74,6.19,99.99,75.80,24.19,18.22,4.29,5.42,15.40,1536.92,490.56,369.43,75.36,75.36,24.64,4.29,35.23,28331.20,78780.04,59714.11,59285.48,428.64,3380.42,15679.32,14852.75,782.16,44.41,6.19,78780.04,59368.43,59368.43,5058.25,3380.42,997.83,680.00,14353.36,18724.97,12385.17,6597.28,2027.64,1536.92,1525.89,11.03,87.01,403.56,382.28,20.13,1.14,2027.64,1528.03,1528.03,130.19,87.01,25.68,17.50,369.43,18738.97,9981.81,1902.19,1441.83,460.21,1902.19,1441.83,1431.48,10.35,81.62,378.59,358.63,18.89,1.07,1902.19,1433.48,1433.48,122.13,81.62,24.09,16.42,346.57,26578.26,17579.53,9364.20,1.73,7.16,5.42,5.39,0.31,1.42,1.35,0.07,7.16,5.39,5.39,0.46,0.31,0.09,0.06,1.30,66.14,15.40,15.29,0.11,15.31,75.80,75.25,0.54,4.29,19.90,18.85,0.99,0.06,75.36,75.36,6.42,4.29,1.27,0.86,18.22,128090.00,97090.34,30989.60,10.06,128090.00,97090.34,96393.41,696.93,5496.29,25493.31,24149.37,1271.73,72.20,10.06,128090.00,96528.29,96528.29,8224.31,5496.29,1622.39,1105.63,23337.40,1789734.06,1183775.03,630568.95,157882.01,119672.25,38197.36,12.41,157882.02,119672.25,118813.22,859.02,6774.65,31422.71,29766.20,1567.52,89.00,12.41,157882.02,118979.47,118979.47,10137.17,6774.65,1999.74,1362.78,,28765.37,2206002.25,1459105.26,777230.85,2178.95,1651.61,527.17,2178.95,1651.61,1639.76,11.86,93.50,433.67,410.81,21.63,1.23,2178.95,1642.05,1642.05,139.90,93.50,27.60,18.81,396.99,30445.29,20137.28,10726.65,2685.74,2035.75,649.78,2685.74,2035.75,2021.14,14.61,115.24,534.53,506.35,26.67,1.51,2685.74,2023.97,2023.97,172.44,115.24,34.02,23.18,489.33,24820.94,13221.53
GBR,2001,7.45,2083.99,85411.28,64742.12,20662.48,6.68,99.99,75.80,24.19,18.13,4.47,5.65,15.59,1579.67,504.15,377.92,75.36,75.36,24.64,4.47,36.24,27965.09,85411.28,64742.12,64279.65,462.47,3814.24,16848.25,16027.67,772.67,47.91,6.68,85411.28,64369.59,64369.59,5552.83,3814.24,1076.59,662.00,15488.86,19426.09,12853.56,7039.87,2083.99,1579.67,1568.39,11.28,93.07,411.09,391.07,18.85,1.17,2083.99,1570.58,1570.58,135.49,93.07,26.27,16.15,377.92,18503.51,10134.35,2084.52,1580.08,504.28,2084.52,1580.08,1568.79,11.29,93.09,411.19,391.17,18.86,1.17,2084.52,1570.99,1570.99,135.52,93.09,26.27,16.16,378.02,27972.26,18508.25,10136.94,1.80,7.45,5.65,5.61,0.33,1.47,1.40,0.07,7.45,5.62,5.62,0.48,0.33,0.09,0.06,1.35,66.17,15.59,15.48,0.11,15.50,75.80,75.26,0.54,4.47,19.73,18.77,0.90,0.06,75.36,75.36,6.50,4.47,1.26,0.78,18.13,136812.36,103704.36,33097.30,10.70,136812.36,103704.36,102963.57,740.79,6109.67,26987.63,25673.22,1237.66,76.75,10.70,136812.36,103107.64,103107.64,8894.56,6109.67,1724.49,1060.40,24810.16,1835886.66,1214741.28,665311.99,168633.08,127824.60,40795.29,13.19,168633.08,127824.60,126911.52,913.08,7530.70,33264.59,31644.47,1525.52,94.60,13.19,168633.08,127089.10,127089.10,10963.31,7530.70,2125.58,1307.03,,30580.67,2262889.32,1497273.85,820054.66,2318.86,1757.71,560.97,2318.86,1757.71,1745.15,12.56,103.55,457.42,435.14,20.98,1.30,2318.86,1747.59,1747.59,150.76,103.55,29.23,17.97,420.51,31116.84,20588.91,11276.52,2858.20,2166.53,691.45,2858.20,2166.53,2151.05,15.48,127.64,563.81,536.35,25.86,1.60,2858.20,2154.06,2154.06,185.82,127.64,36.03,22.15,518.32,25377.62,13899.28
GBR,2002,7.88,2374.82,93867.20,72027.80,21831.89,7.51,99.99,76.73,23.26,17.46,4.26,6.05,16.06,1822.29,552.34,414.63,76.29,76.29,23.71,4.26,37.65,30143.17,93867.20,72027.80,71508.02,519.78,4001.40,17830.49,16994.29,782.35,53.85,7.51,93867.20,71608.08,71608.08,5870.42,4001.40,1210.01,659.00,16388.71,20112.22,13247.43,7572.71,2374.82,1822.29,1809.14,13.15,101.23,451.11,429.95,19.79,1.36,2374.82,1811.67,1811.67,148.52,101.23,30.61,16.67,414.63,19854.58,11349.59,2296.84,1762.45,534.20,2296.84,1762.45,1749.73,12.72,97.91,436.29,415.83,19.14,1.32,2296.84,1752.18,1752.18,143.64,97.91,29.61,16.13,401.02,29153.34,19202.60,10976.90,1.83,7.88,6.05,6.00,0.34,1.50,1.43,0.07,7.88,6.01,6.01,0.49,0.34,0.10,0.06,1.38,65.87,16.06,15.94,0.12,15.96,76.73,76.18,0.55,4.26,19.00,18.10,0.83,0.06,76.29,76.29,6.25,4.26,1.29,0.70,17.46,147231.77,112976.42,34243.57,11.77,147231.77,112976.42,112161.13,815.29,6276.24,27967.33,26655.74,1227.12,84.47,11.77,147231.77,112318.08,112318.08,9207.81,6276.24,1897.92,1033.65,25705.88,1868785.49,1230923.72,703640.43,181475.90,139253.22,42208.17,14.51,181475.91,139253.22,138248.31,1004.91,7736.01,34472.16,32855.51,1512.53,104.11,14.51,181475.91,138441.76,138441.76,11349.43,7736.01,2339.35,1274.06,,31684.72,2303439.99,1517220.11,867297.77,2485.36,1907.11,578.05,2485.36,1907.11,1893.35,13.76,105.95,472.11,449.97,20.71,1.43,2485.36,1896.00,1896.00,155.43,105.95,32.04,17.45,433.93,31546.24,20778.74,11877.88,3063.42,2350.68,712.50,3063.42,2350.68,2333.72,16.96,130.59,581.91,554.62,25.53,1.76,3063.42,2336.98,2336.98,191.59,130.59,39.49,21.51,534.86,25611.60,14640.52
GBR,2003,8.08,2789.35,101652.16,79473.15,22170.45,8.56,99.99,78.18,21.81,16.30,4.02,6.32,16.24,2180.76,608.36,454.55,77.71,77.71,22.29,4.02,38.89,34528.88,101652.15,79473.15,78880.58,592.57,4086.64,18083.81,17255.49,766.93,61.39,8.56,101652.15,78990.96,78990.96,6096.09,4086.64,1379.46,630.00,16565.10,21147.98,13820.13,8223.81,2789.35,2180.76,2164.50,16.26,112.14,496.22,473.49,21.04,1.68,2789.35,2167.52,2167.52,167.28,112.14,37.85,17.29,454.55,22564.51,13427.24,2455.16,1919.48,535.47,2455.16,1919.48,1905.17,14.31,98.70,436.77,416.76,18.52,1.48,2455.16,1907.84,1907.84,147.24,98.70,33.32,15.22,400.09,30392.01,19861.07,11818.53,1.76,8.08,6.32,6.27,0.32,1.44,1.37,0.06,8.08,6.28,6.28,0.48,0.32,0.11,0.05,1.32,65.35,16.24,16.12,0.12,16.14,78.18,77.60,0.58,4.02,17.79,16.98,0.75,0.06,77.71,77.71,6.00,4.02,1.36,0.62,16.30,155716.60,121741.53,33961.96,13.11,155716.60,121741.53,120833.80,907.73,6260.14,27701.81,26432.95,1174.82,94.04,13.11,155716.60,121002.87,121002.87,9338.35,6260.14,2113.13,965.07,25375.38,1927588.17,1259672.33,749580.69,191934.20,150056.98,41861.06,16.16,191934.19,150056.98,148938.12,1118.86,7716.17,34144.88,32580.90,1448.07,115.92,16.16,191934.19,149146.52,149146.52,11510.32,7716.17,2604.62,1189.53,,31277.35,2375919.38,1552655.26,923923.12,2617.02,2046.03,570.78,2617.02,2046.03,2030.77,15.26,105.21,465.57,444.24,19.74,1.58,2617.02,2033.61,2033.61,156.94,105.21,35.51,16.22,426.47,32395.68,21170.47,12597.70,3225.71,2521.91,703.53,3225.71,2521.91,2503.10,18.80,129.68,573.85,547.57,24.34,1.95,3225.71,2506.61,2506.61,193.45,129.68,43.77,19.99,525.66,26094.43,15527.76
GBR,2004,8.34,3377.12,110290.41,88327.35,21954.45,8.62,99.99,80.09,19.91,14.74,3.84,6.68,16.66,2704.60,672.25,497.69,79.66,79.66,20.34,3.84,40.08,40499.44,110290.41,88327.35,87730.68,596.67,4232.50,17721.95,16948.65,711.49,61.82,8.62,110290.41,87853.44,87853.44,6183.49,4232.50,1388.99,562.00,16253.49,22119.98,14407.37,8866.51,3377.12,2704.60,2686.33,18.27,129.60,542.65,518.97,21.79,1.89,3377.12,2690.09,2690.09,189.34,129.60,42.53,17.21,497.69,26378.43,16233.68,2681.68,2147.66,533.82,2681.68,2147.66,2133.15,14.51,102.91,430.90,412.10,17.30,1.50,2681.68,2136.13,2136.13,150.35,102.91,33.77,13.66,395.20,32159.55,20946.43,12890.74,1.66,8.34,6.68,6.63,0.32,1.34,1.28,0.05,8.34,6.64,6.64,0.47,0.32,0.11,0.04,1.23,65.13,16.66,16.55,0.11,16.57,80.09,79.55,0.54,3.84,16.07,15.37,0.65,0.06,79.66,79.66,5.61,3.84,1.26,0.51,14.74,164635.57,131850.29,32772.42,12.86,164635.57,131850.29,130959.62,890.67,6318.04,26454.38,25300.02,1062.08,92.28,12.86,164635.57,131142.86,131142.86,9230.37,6318.04,2073.41,838.92,24262.33,1974361.03,1285957.35,791397.18,202927.60,162516.90,40394.84,15.85,202927.60,162516.90,161419.07,1097.83,7787.53,32607.31,31184.47,1309.10,113.74,15.85,202927.60,161644.94,161644.94,11377.24,7787.53,2555.66,1034.05,,29905.42,2433570.99,1585053.82,975465.57,2753.39,2205.08,548.09,2753.39,2205.08,2190.19,14.90,105.66,442.43,423.12,17.76,1.54,2753.39,2193.25,2193.25,154.37,105.66,34.68,14.03,405.77,33019.52,21506.55,13235.45,3393.79,2717.96,675.57,3393.79,2717.96,2699.60,18.36,130.24,545.33,521.53,21.89,1.90,3393.79,2703.37,2703.37,190.27,130.24,42.74,17.29,500.14,26508.68,16313.84
GBR,2005,8.39,3547.29,117415.31,95381.99,22023.95,9.37,99.99,81.23,18.76,13.43,3.99,6.82,16.53,2881.63,665.38,476.54,80.79,80.79,19.21,3.99,41.25,42258.27,117415.31,95381.99,94732.95,649.04,4688.36,17335.59,16529.71,738.64,67.24,9.37,117415.31,94865.50,94865.50,6776.27,4688.36,1510.91,577.00,15773.54,23241.96,15001.57,9586.26,3547.29,2881.63,2862.02,19.61,141.64,523.73,499.39,22.32,2.03,3547.29,2866.03,2866.03,204.72,141.64,45.65,17.43,476.54,27275.67,17429.63,2757.14,2239.75,517.16,2757.14,2239.75,2224.51,15.24,110.09,407.07,388.15,17.34,1.58,2757.14,2227.62,2227.62,159.12,110.09,35.48,13.55,370.39,32845.31,21200.06,13547.21,1.57,8.39,6.82,6.77,0.34,1.24,1.18,0.05,8.39,6.78,6.78,0.48,0.34,0.11,0.04,1.13,64.55,16.53,16.42,0.11,16.44,81.23,80.68,0.55,3.99,14.76,14.08,0.63,0.06,80.79,80.79,5.77,3.99,1.29,0.49,13.43,170273.16,138320.90,31938.66,13.59,170273.16,138320.90,137379.68,941.22,6798.96,25139.71,23971.04,1071.16,97.51,13.59,170273.16,137571.91,137571.91,9826.80,6798.96,2191.09,836.75,22874.45,2028435.67,1309257.37,836638.41,209876.41,170492.49,39367.17,16.75,209876.41,170492.49,169332.35,1160.14,8380.30,30986.86,29546.38,1320.29,120.19,16.75,209876.41,169569.29,169569.29,12112.38,8380.30,2700.71,1031.37,,28194.74,2500222.66,1613773.11,1031229.30,2829.30,2298.37,530.70,2829.30,2298.37,2282.74,15.64,112.97,417.73,398.31,17.80,1.62,2829.30,2285.93,2285.93,163.28,112.97,36.41,13.90,380.09,33704.99,21754.95,13901.79,3487.36,2832.95,654.13,3487.36,2832.95,2813.67,19.28,139.25,514.89,490.95,21.94,2.00,3487.36,2817.61,2817.61,201.26,139.25,44.88,17.14,468.49,26814.86,17135.16
GBR,2006,8.55,3817.99,125788.97,103680.54,22098.08,10.35,99.99,82.42,17.57,12.28,3.96,7.04,17.23,3146.95,670.73,468.70,81.97,81.97,18.03,3.96,40.87,44679.81,125788.97,103680.54,102963.92,716.62,4981.86,17116.22,16276.79,765.18,74.24,10.35,125788.97,103107.99,103107.99,7239.09,4981.86,1668.23,589.00,15441.89,24282.90,15471.20,9924.42,3817.99,3146.95,3125.20,21.75,151.21,519.52,494.04,23.23,2.25,3817.99,3129.57,3129.57,219.72,151.21,50.63,17.88,468.70,28466.56,18260.64,2979.26,2455.63,523.38,2979.26,2455.63,2438.66,16.97,117.99,405.39,385.51,18.12,1.76,2979.26,2442.07,2442.07,171.45,117.99,39.51,13.95,365.73,34864.57,22213.04,14249.15,1.50,8.55,7.04,6.99,0.34,1.16,1.11,0.05,8.55,7.00,7.00,0.49,0.34,0.11,0.04,1.05,63.71,17.23,17.11,0.12,17.14,82.42,81.85,0.57,3.96,13.61,12.94,0.61,0.06,81.97,81.97,5.75,3.96,1.33,0.47,12.28,177470.64,146278.74,31177.31,14.60,177470.64,146278.74,145267.69,1011.05,7028.71,24148.59,22964.28,1079.57,104.75,14.60,177470.64,145470.96,145470.96,10213.34,7028.71,2353.63,831.00,21786.34,2076839.73,1323203.39,848804.49,218747.94,180301.21,38428.73,18.00,218747.94,180301.21,179055.01,1246.20,8663.50,29765.23,28305.46,1330.66,129.11,18.00,218747.94,179305.55,179305.55,12588.83,8663.50,2901.06,1024.28,,26853.55,2559884.85,1630962.79,1046225.06,2927.57,2413.03,514.30,2927.57,2413.03,2396.35,16.68,115.95,398.36,378.82,17.81,1.73,2927.57,2399.70,2399.70,168.48,115.95,38.83,13.71,359.39,34259.77,21827.71,14001.97,3608.49,2974.27,633.92,3608.49,2974.27,2953.71,20.56,142.91,491.01,466.93,21.95,2.13,3608.49,2957.84,2957.84,207.67,142.91,47.86,16.90,442.98,26904.54,17258.64
GBR,2007,8.76,4431.64,135265.63,108969.05,26286.13,10.44,99.99,80.56,19.43,14.27,3.88,7.05,17.16,3570.10,861.20,632.30,80.14,80.14,19.86,3.88,41.11,50606.15,135265.63,108969.05,108246.04,723.01,5248.64,21037.50,20141.73,820.86,74.91,10.44,135265.63,108397.51,108397.51,7568.75,5248.64,1683.11,637.00,19299.38,25291.54,16088.85,10398.25,4431.64,3570.10,3546.41,23.69,171.96,689.24,659.89,26.89,2.45,4431.64,3551.37,3551.37,247.97,171.96,55.14,20.87,632.30,32192.38,20805.98,3123.51,2516.28,606.99,3123.51,2516.28,2499.58,16.70,121.20,485.79,465.11,18.96,1.73,3123.51,2503.08,2503.08,174.77,121.20,38.87,14.71,445.65,35668.25,22689.85,14664.48,1.70,8.76,7.05,7.01,0.34,1.36,1.30,0.05,8.76,7.02,7.02,0.49,0.34,0.11,0.04,1.25,63.61,17.16,17.05,0.11,17.07,80.56,80.02,0.53,3.88,15.55,14.89,0.61,0.06,80.14,80.14,5.60,3.88,1.24,0.47,14.27,186636.85,150353.36,36269.09,14.41,186636.86,150353.36,149355.76,997.59,7241.97,29027.13,27791.17,1132.61,103.35,14.41,186636.86,149564.75,149564.75,10443.21,7241.97,2322.32,878.92,26628.90,2131259.81,1355770.81,876236.42,230046.09,185323.53,44704.79,17.76,230046.10,185323.53,184093.91,1229.62,8926.35,35778.45,34255.02,1396.04,127.39,17.76,230046.10,184351.51,184351.51,12872.16,8926.35,2862.46,1083.35,,32822.43,2626962.32,1671104.96,1080037.29,3055.95,2461.85,593.86,3055.95,2461.85,2445.52,16.33,118.58,475.28,455.05,18.55,1.69,3055.95,2448.94,2448.94,170.99,118.58,38.03,14.39,436.02,34896.76,22199.08,14347.30,3766.72,3034.45,731.99,3766.72,3034.45,3014.31,20.13,146.16,585.83,560.88,22.86,2.09,3766.72,3018.53,3018.53,210.77,146.16,46.87,17.74,537.43,27362.29,17684.29
GBR,2008,9.04,4301.42,144066.81,117126.61,26928.92,11.28,99.99,81.30,18.69,13.43,4.02,7.35,16.57,3497.06,804.02,577.65,80.87,80.87,19.13,4.02,44.34,47580.26,144066.81,117126.61,116345.78,780.83,5785.30,21143.62,20256.94,805.78,80.90,11.28,144066.81,116508.58,116508.58,8211.01,5785.30,1817.71,608.00,19347.23,25882.04,16490.09,11476.91,4301.42,3497.06,3473.75,23.31,172.73,631.29,604.81,24.06,2.42,4301.42,3478.61,3478.61,245.16,172.73,54.27,18.15,577.65,30314.56,21098.57,3334.55,2711.00,623.29,3334.55,2711.00,2692.92,18.07,133.91,489.39,468.86,18.65,1.87,3334.55,2696.69,2696.69,190.05,133.91,42.07,14.07,447.81,36885.24,23500.50,16356.07,1.69,9.04,7.35,7.30,0.36,1.33,1.27,0.05,9.04,7.31,7.31,0.52,0.36,0.11,0.04,1.21,63.71,16.57,16.46,0.11,16.49,81.30,80.76,0.54,4.02,14.68,14.06,0.56,0.06,80.87,80.87,5.70,4.02,1.26,0.42,13.43,192238.16,156290.01,35933.10,15.05,192238.16,156290.01,155248.10,1041.91,7719.72,28213.38,27030.22,1075.21,107.94,15.05,192238.16,155465.33,155465.33,10956.50,7719.72,2425.49,811.30,25816.32,2126448.97,1354813.27,942933.87,236950.18,192640.98,44290.65,18.55,236950.18,192640.98,191356.73,1284.25,9515.22,34775.43,33317.09,1325.29,133.05,18.55,236950.18,191624.49,191624.49,13504.84,9515.22,2989.62,999.99,,31820.85,2621032.55,1669924.70,1162247.67,3122.19,2538.34,583.60,3122.19,2538.34,2521.42,16.92,125.38,458.22,439.00,17.46,1.75,3122.19,2524.95,2524.95,177.95,125.38,39.39,13.18,419.29,34536.17,22003.85,15314.42,3848.37,3128.73,719.34,3848.37,3128.73,3107.87,20.86,154.54,564.80,541.11,21.52,2.16,3848.37,3112.22,3112.22,219.34,154.54,48.56,16.24,516.81,27121.65,18876.35
GBR,2009,9.85,3829.68,152521.56,126222.75,26287.39,11.43,99.99,82.76,17.24,12.35,3.70,8.15,17.24,3169.34,660.05,472.90,82.35,82.35,17.65,3.70,47.29,38889.06,152521.57,126222.75,125431.60,791.15,5640.02,20647.38,19755.45,809.96,81.97,11.43,152521.57,125607.11,125607.11,8080.75,5640.02,1841.73,599.00,18833.71,24963.63,16048.14,11804.20,3829.68,3169.34,3149.48,19.87,141.62,518.44,496.04,20.34,2.06,3829.68,3153.88,3153.88,202.90,141.62,46.24,15.04,472.90,25000.25,18388.92,3462.00,2865.06,596.68,3462.00,2865.06,2847.10,17.96,128.02,468.66,448.42,18.38,1.86,3462.00,2851.09,2851.09,183.42,128.02,41.80,13.60,427.50,35155.39,22600.02,16623.43,1.70,9.85,8.15,8.10,0.36,1.33,1.28,0.05,9.85,8.11,8.11,0.52,0.36,0.12,0.04,1.22,64.29,17.24,17.13,0.11,17.15,82.76,82.24,0.52,3.70,13.54,12.95,0.53,0.05,82.35,82.35,5.30,3.70,1.21,0.39,12.35,199742.55,165301.57,34426.02,14.96,199742.55,165301.57,164265.48,1036.09,7386.18,27039.85,25871.78,1060.73,107.34,14.96,199742.55,164495.33,164495.33,10582.57,7386.18,2411.94,784.45,24664.66,2028314.27,1303923.61,959100.15,246199.99,203748.50,42433.05,18.44,246200.00,203748.50,202471.43,1277.07,9104.10,33328.95,31889.21,1307.44,132.31,18.44,246200.00,202754.74,202754.74,13043.93,9104.10,2972.92,966.90,,30401.33,2500073.02,1607198.79,1182174.01,3219.46,2664.33,554.88,3219.46,2664.33,2647.63,16.70,119.05,435.83,417.00,17.10,1.73,3219.46,2651.34,2651.34,170.57,119.05,38.88,12.64,397.55,32692.42,21016.67,15458.80,3968.26,3284.02,683.94,3968.26,3284.02,3263.44,20.58,146.74,537.20,513.99,21.07,2.13,3968.26,3268.01,3268.01,210.24,146.74,47.92,15.58,490.01,25904.87,19054.31
